Aaron a.a.ʁɔ̃ 
allouer a.lwe 
alloués a.lwe 
allumé a.ly.me 
allumer a.ly.me 
allumettes a.ly.mɛt 
allure a.lyʁ 
allures a.lyʁ 
allusion a.ly.zjɔ̃ 
allusions a.ly.zjɔ̃ 
alluvion a.ly.vjɔ̃ 
alluvions a.ly.vjɔ̃ 
almanach al.ma.na 
aloès a.lɔ.ɛs 
alogique a.lɔ.ʒik 
alopécie a.lɔ.pe.si 
alors a.lɔʁ 
alouette a.lwɛt 
alourdir a.luʁ.diʁ 
alpage al.paʒ 
alpes alp 
alpestre al.pɛstʁ 
alpha al.fa 
alphabet al.fa.bɛ 
alphabétique al.fa.be.tik 
Alphonse al.fɔ̃s 
alpin al.pɛ̃ 
alpinisme al.pi.nism 
alpiniste al.pi.nist 
alsace al.zas 
alsaciens al.za.sjɛ̃ 
altération al.te.ʁa.sjɔ̃ 
altercation al.tɛʁ.ka.sjɔ̃ 
altérer al.te.ʁe 
alternance al.tɛʁ.nɑ̃s 
alternative al.tɛʁ.na.tiv 
alternatives al.tɛʁ.na.tif 
altier al.tje 
altitude al.ti.tyd 
alto al.to 
altruisme al.tʁɥism 
altruiste al.tʁɥist 
alu a.ly 
aluminium a.ly.mi.njɔm 
alvéole al.ve.ɔl 
amabilité a.ma.bi.li.te 
amadouer a.ma.dwe 
amaigrir a.mɛ.ɡʁiʁ 
amalgamation a.mal.ɡa.ma.sjɔ̃ 
amalgame a.mal.ɡam 
amalgamer a.mal.ɡa.me 
amande a.mɑ̃d 
amandier a.mɑ̃.dje 
amant a.mɑ̃ 
amants a.mɑ̃ 
amarrer a.ma.ʁe 
amas a.ma 
amasser a.mɑ.se 
amateur a.ma.tœʁ 
amateurisme a.ma.tœ.ʁism 
amateurs a.ma.tœʁ 
amatrice a.ma.tœʁ 
amazone a.ma.zon 
amazonienne a.ma.zɔ.njɛn 
ambassade ɑ̃.ba.sad 
ambassades ɑ̃.ba.sad 
ambassadeur ɑ̃.ba.sa.dœʁ 
ambassadeurs ɑ̃.ba.sa.dœʁ 
ambiance ɑ̃.bjɑ̃s 
ambiant ɑ̃.bjɑ̃ 
ambiante ɑ̃.bjɑ̃ 
ambigu ɑ̃.bi.ɡy 
ambiguë ɑ̃.bi.ɡy 
ambiguïté ɑ̃.bi.ɡɥi.te 
ambiguïtés ɑ̃.bi.ɡɥi.te 
ambitieuse ɑ̃.bi.sjøz 
ambitieusement ɑ̃.bi.sjøz.mɑ̃ 
ambitieuses ɑ̃.bi.sjø 
ambitieux ɑ̃.bi.sjø 
ambition ɑ̃.bi.sjɔ̃ 
ambitionnant ɑ̃.bi.sjɔ.nɑ̃ 
ambitionner ɑ̃.bi.sjɔ.ne 
ambitions ɑ̃.bi.sjɔ̃ 
ambon ɑ̃.bɔ̃ 
ambroisie ɑ̃.bʁwa.zi 
ambulance ɑ̃.by.lɑ̃s 
ambulancier ɑ̃.by.lɑ̃.sje 
ambulanciers ɑ̃.by.lɑ̃.sje 
ambulant ɑ̃.by.lɑ̃ 
âme ɑm 
amélioration a.me.ljɔ.ʁa.sjɔ̃ 
améliorations a.me.ljɔ.ʁa.sjɔ̃ 
amélioré a.me.ljɔ.ʁe 
améliorée a.me.ljɔ.ʁe 
améliorer a.me.ljɔ.ʁe 
amen a.mɛn 
aménagé a.me.na.ʒe 
aménagée a.me.na.ʒe 
aménagement a.me.naʒ.mɑ̃ 
aménagements a.me.naʒ.mɑ̃ 
aménager a.me.na.ʒe 
amende a.mɑ̃d 
amendement a.mɑ̃d.mɑ̃ 
amendements a.mɑ̃d.mɑ̃ 
amender a.mɑ̃.de 
amendes a.mɑ̃d 
amène a.mɛn 
amené a.mə.ne 
amenée a.mə.ne 
amener a.mə.ne 
amenés a.mə.ne 
amer a.mɛʁ 
amère a.mɛʁ 
américain a.me.ʁi.kɛ̃ 
Américain a.me.ʁi.kɛ̃ 
américaine a.me.ʁi.kɛ̃ 
Américaine a.me.ʁi.kɛ̃ 
américaines a.me.ʁi.kɛ̃ 
américains a.me.ʁi.kɛ̃ 
americana a.me.ɾi.ˈka.no 
américaniser a.me.ʁi.ka.ni.ze 
Amérique a.me.ʁik 
amertume d 
âmes ɑːm 
améthyste a.me.tist 
ameublement a.mœ.blǝ.mɑ̃ 
ameublissement a.mœ.blis.mɑ̃ 
ami a.mi 
amiable a.mjabl 
amiante a.mjɑ̃t 
amibe a.mib 
amical a.mi.kal 
amicale a.mi.kal 
amidon a.mi.dɔ̃ 
amie a.mi 
Amiens a.mjɛ̃ 
amiral a.mi.ʁal 
amirauté a.mi.ʁo.te 
amis a.mi 
amitié a.mi.tje 
amitiés a.mi.tje 
ammoniac a.mɔ.njak 
amnésie am.ne.zi 
amnistie am.nis.ti 
amnistier am.nis.tje 
amodiataire a.mɔ.dja.tɛʁ 
amoindrir a.mwɛ̃.dʁiʁ 
amonceler a.mɔ̃.sle 
amoncellement a.mɔ̃.sɛl.mɑ̃ 
amont a.mɔ̃ 
amoral a.mɔ.ʁal 
amorce a.mɔʁs 
amorcé a.mɔʁ.se 
amorcée a.mɔʁ.se 
amorphe a.mɔʁf 
amortir a.mɔʁ.tiʁ 
amortissable a.mɔʁ.ti.sabl 
amortissement a.mɔʁ.tis.mɑ̃ 
amour a.muʁ 
amoureuse a.mu.ʁ 
amoureux a.mu.ʁø 
amour-propre a.muʁ.pʁɔpʁ 
amours a.muʁ 
ampère ɑ̃.pɛʁ 
amphi ɑ̃.fi 
amphibie ɑ̃.fi.bi 
amphibraque ɑ̃.fi.bʁak 
amphithéâtre ɑ̃.fi.te.atʁ 
amphitryon ɑ̃.fi.tʁi.jɔ̃ 
amphore ɑ̃.fɔʁ 
ample ɑ̃pl 
amplement ɑ̃.plǝ.mɑ̃ 
ampleur ɑ̃.plœʁ 
amplification ɑ̃.pli.fi.ka.sjɔ̃ 
amplifier ɑ̃.pli.fje 
amplitude ɑ̃.pli.tyd 
ampoule ɑ̃.pul 
amputation ɑ̃.py.ta.sjɔ̃ 
amputer ɑ̃.py.te 
Amsterdam ams.tɛʁ.dam 
amulette a.my.lɛt 
amusant a.my.zɑ̃ 
amusé a.my.ze 
amusement a.myz.mɑ̃ 
amuser a.my.ze 
an ɑ̃ 
anachronique a.na.kʁɔ.nik 
anachronisme a.na.kʁɔ.nism 
analgésique a.nal.ʒe.zik 
analogie a.na.lɔ.ʒi 
analogique a.na.lɔ.ʒik 
analogiquement a.na.lo.ʒik.mɑ̃ 
analogue a.na.lɔɡ 
analogues a.na.lɔɡ 
analphabète a.nal.fa.bɛt 
analyse a.na.liz 
analysé a.na.li.ze 
analyser a.na.li.ze 
analyses a.na.liz 
analyste a.na.list 
analystes a.na.list 
analytique a.na.li.tik 
analytiquement a.na.li.tik.mɑ̃ 
anamnèse a.nam.nɛz 
ananas a.na.nɑ 
anapeste a.na.pɛst 
anaphore a.na.fɔʁ 
anarchie a.naʁ.ʃi 
anarchique a.naʁ.ʃik 
anarchisme a.naʁ.ʃism 
anarchiste a.naʁ.ʃist 
anathème a.na.tɛm 
anatomie a.na.tɔ.mi 
anatomique a.na.tɔ.mik 
anatomiste a.na.tɔ.mist 
ANC a.ɛn.se 
anche ɑ̃ʃ 
anchois ɑ̃.ʃwa 
ancien ɑ̃.sjɛ̃ 
ancien ɑ̃.sjɛ̃ 
testament tɛs.ta.mɑ̃ 
ancienne ɑ̃.sjɛ̃ 
anciennement ɑ̃.sjɛn.mɑ̃ 
anciennes ɑ̃.sjɛ̃ 
ancienneté ɑ̃.sjɛn.te 
anciens ɑ̃.sjɛ̃ 
ancre ɑ̃kʁ 
andain ɑ̃.dɛ̃ 
andante ɑ̃.dɑ̃t 
andorran ɑ̃.dɔ.ʁɑ̃ 
Andorran ɑ̃.dɔ.ʁɑ̃ 
Andorrane ɑ̃.dɔ.ʁɑ̃ 
andorrans ɑ̃.dɔ.ʁɑ̃ 
Andorre ɑ̃.dɔʁ 
andouille ɑ̃.duj 
André ɑ̃.dʁe 
androgenèses ɑ.dʁɔ.ʒe.nɛz 
âne ɑn 
anéantir a.ne.ɑ̃.tiʁ 
anéantissement a.ne.ɑ̃.tis.mɑ̃ 
anecdote a.nɛk.dɔt 
anecdotique a.nɛk.dɔ.tik 
anecdotique a.nɛk.dɔ.tik 
ment mɑ̃ 
anémie a.ne.mi 
anémique a.ne.mik 
anémone a.ne.mɔn 
de dy 
mer mɛʁ 
ânerie ɑn.ʁi 
anesthésiant a.nɛs.te.zjɑ̃ 
anesthésie a.nɛs.te.zi 
anesthésier a.nɛs.te.zje 
anesthésiologie a.nɛs.te.sjɔ.lɔ.ʒi 
anesthésiste a.nɛs.te.zist 
ange ɑ̃ʒ 
ange ɑ̃ʒ 
gardien ɡaʁ.djɛ̃ 
angélique ɑ̃.ʒe.lik 
angelot ɑ̃ʒ.lo 
Angers ɑ̃.ʒe 
anges ɑ̃ʒ 
angine ɑ̃.ʒin 
Angkor ɑ̃ɡ.kɔʁ 
anglais ɑ̃.ɡlɛ 
Anglais ɑ̃.ɡlɛ 
anglaise ɑ̃.ɡlɛz 
Anglaise ɑ̃.glɛ 
anglaises ɑ̃.ɡlɛ 
angle ɑ̃ɡl 
Angleterre ɑ̃.ɡlə.tɛʁ 
anglican ɑ̃.ɡli.kɑ̃ 
anglicane ɑ̃.ɡli.kan 
anglicisme ɑ̃.ɡli.sism 
angliciste ɑ̃.ɡli.sist 
anglophile ɑ̃.ɡlɔ.fil 
anglophobe ɑ̃.ɡlɔ.fɔb 
anglophone ɑ̃.ɡlɔ.fɔn 
anglophones ɑ̃.ɡlɔ.fɔn 
angoissant ɑ̃.ɡwa.sɑ̃ 
angoisse ɑ̃.ɡwas 
angoisser ɑ̃.ɡwa.se 
angoisses ɑ̃.ɡwas 
Angola ɑ̃.ɡɔ.la 
angolais ɑ̃.ɡɔ.lɛ 
Angolais ɑ̃.ɡɔ.lɛ 
Angolaise ɑ̃.ɡɔ.lɛ 
angora ɑ̃.ɡɔ.ʁa 
Angoulême ɑ̃.ɡu.lɛm 
aniline a.ni.lin 
animal a.ni.mal 
animale a.ni.mal 
animales a.ni.mal 
animateur a.ni.ma.tœʁ 
animateurs a.ni.ma.tœʁ 
animation a.ni.ma.sjɔ̃ 
animaux a.ni.mal 
anime a.nim 
animé a.ni.me 
animée a.ni.me 
animées a.ni.me 
animer a.ni.me 
animés a.ni.me 
animisme a.ni.mism 
animosité a.ni.mɔ.zi.te 
anis a.nis 
Anna a.na 
annales a.nal 
Anne an 
anneau a.no 
année a.ne 
années a.ne 
annexe a.nɛks 
annexer a.nɛk.se 
annexes a.nɛks 
annexion a.nɛk.sjɔ̃ 
Annie a.ni 
annihiler a.ni.i.le 
anniversaire a.ni.vɛʁ.sɛʁ 
annonce a.nɔ̃s 
annoncé a.nɔ̃.se 
annoncée a.nɔ̃.se 
annoncées a.nɔ̃.se 
annoncent a.nɔ̃s 
annoncer a.nɔ̃.se 
annonces a.nɔ̃s 
annoncés a.nɔ̃.se 
annonceur a.nɔ̃.sœʁ 
annonceurs a.nɔ̃.sœʁ 
annonciation a.nɔ̃.sja.sjɔ̃ 
annotation a.nɔ.ta.sjɔ̃ 
annotations a.nɔ.ta.sjɔ̃ 
annuaire a.nɥɛʁ 
annuel a.nɥɛl 
annuelle a.nɥɛlɛl 
annuellement a.nɥɛl.mɑ̃ 
annuelles a.nɥɛlɛl 
annuels a.nɥɛlɛl 
annulation a.ny.la.sjɔ̃ 
annulé a.ny.le 
annulée a.ny.le 
annulées a.ny.le 
annuler a.ny.le 
anode a.nɔd 
anodin a.nɔ.dɛ̃ 
anomalie a.nɔ.ma.li 
anomalies a.nɔ.ma.li 
anonymat a.nɔ.ni.ma 
anonyme a.nɔ.nim 
anonymement a.nɔ.nim.mɑ̃ 
anonymes a.nɔ.nim 
anormal a.nɔʁ.mal 
anormalement a.nɔʁ.mal.mɑ̃ 
ans ɑ̃ 
anse ɑ̃s 
antagonique ɑ̃.ta.ɡɔ.nik 
antagonisme ɑ̃.ta.ɡɔ.nism 
antagoniste ɑ̃.ta.ɡɔ.nist 
antan ɑ̃.tɑ̃ 
antarctique ɑ̃.taʁ.tik 
Antarctique ɑ̃.taʁ.tik 
ante ɑ̃t 
antécédents ɑ̃.te.se.dɑ̃ 
antéchrist ɑ̃.te.kʁist 
antédiluvien ɑ̃.te.di.ly.vjɛ̃ 
antenne ɑ̃.tɛn 
antennes ɑ̃.tɛn 
antérieur ɑ̃.te.ʁjœʁ 
antérieure ɑ̃.te.ʁjœʁ 
antérieures ɑ̃.te.ʁjœʁ 
antérieurs ɑ̃.te.ʁjœʁ 
anthologie ɑ̃.tɔ.lɔ.ʒi 
anthracite ɑ̃t.ʁa.sit 
anthrax ɑ̃.tʁaks 
anthropologie ɑ̃.tʁɔ.pɔ.lɔ.ʒi 
anthropologique ɑ̃t.ʁɔ.pɔ.lɔ.ʒik 
anthropologue ɑ̃.tʁɔ.pɔ.lɔɡ 
anthropomorphisme ɑ̃.tʁɔ.pɔ.mɔʁ.fism 
anthropophage ɑ̃t.ʁɔ.pɔ.faʒ 
antibiotique ɑ̃.ti.bjɔ.tik 
antichambre ɑ̃.ti.ʃɑ̃bʁ 
anticipation ɑ̃.ti.si.pa.sjɔ̃ 
anticipé ɑ̃.ti.si.pe 
anticipée ɑ̃.ti.si.pe 
anticipées ɑ̃.ti.si.pe 
anticiper ɑ̃.ti.si.pe 
anticlérical ɑ̃.ti.kle.ʁi.kal 
anticlinal ɑ̃.ti.kli.nal 
anticommunisme ɑ̃.ti.kɔ.my.nism 
anticommuniste ɑ̃.ti.ko.my.nist 
anticonstitutionnel ɑ̃.ti.kɔ̃s.ti.ty.sjɔ.nɛl 
anticorps ɑ̃.ti.kɔʁ 
anticyclone ɑ̃.ti.si.klɔn 
antidrogue ɑ̃.ti.dʁɔɡ 
antifascisme ɑ̃.ti.fa.ʃism 
antifasciste ɑ̃.ti.fa.ʃist 
antigouvernemental ɑ̃.ti.ɡu.vɛʁn.mɑ̃.tal 
Antilles ɑ̃.tij 
antilope ɑ̃.ti.lɔp 
antimilitariste ɑ̃.ti.mi.li.ta.ʁist 
antinomie ɑ̃.ti.nɔ.mi 
antinomique ɑ̃.ti.nɔ.mik 
antiparticule ɑ̃.ti.paʁ.ti.kyl 
antipathie ɑ̃.ti.pa.ti 
antipathique ɑ̃.ti.pa.tik 
antipode ɑ̃.ti.pɔd 
antipodes ɑ̃.ti.pɔd 
antiquaire ɑ̃.ti.kɛʁ 
antique ɑ̃.tik 
antiques ɑ̃.tik 
antiquité ɑ̃.ti.ki.te 
antiquités ɑ̃.ti.ki.te 
antiraciste ɑ̃.ti.ʁa.sist 
antisémite ɑ̃.ti.se.mit 
antisémites ɑ̃.ti.se.mit 
antisémitisme ɑ̃.ti.se.mi.tism 
antiseptique ɑ̃.ti.sɛp.tik 
antisocial ɑ̃.ti.sɔ.sjal 
antiterroriste ɑ̃.ti.te.ʁɔ.ʁist 
antithèse ɑ̃.ti.tɛz 
Antoine ɑ̃.twan 
Antoinette ɑ̃.twa.nɛt 
Antonio ɑ̃.tɔ.njo 
antonyme ɑ̃.tɔ.nim 
anus a.nys 
anxiété ɑ̃k.sje.te 
anxieux ɑ̃k.sjø 
aorte a.ɔʁt 
août u(t) 
apaisement a.pɛz.mɑ̃ 
apaiser a.pɛ.ze 
apanage a.pa.naʒ 
apartheid a.paʁ.tɛjd 
apathie a.pa.ti 
apathique a.pa.tik 
apatride a.pa.tʁid 
apercevoir a.pɛʁ.sə.vwaʁ 
aperçu a.pɛʁ.sy 
apéritif a.pe.ʁi.tif 
apesanteur a.pə.zɑ̃.tœʁ 
aphasie a.fa.zi 
aphorisme a.fɔ.ʁism 
aplanir a.pla.niʁ 
aplatir a.pla.tiʁ 
aplomb a.plɔ̃ 
apocalypse a.pɔ.ka.lips 
apocalyptique a.pɔ.ka.lip.tik 
apocryphe a.pɔ.kʁif 
apogée a.pɔ.ʒe 
apolitique a.pɔ.li.tik 
apolitisme a.pɔ.li.tism 
apollon a.pɔ.lɔ̃ 
apologie a.pɔ.lɔ.ʒi 
apologiste a.pɔ.lɔ.ʒist 
apoplectique a.pɔ.plɛk.tik 
apostolique a.pɔs.tɔ.lik 
apostrophe a.pɔs.tʁɔf 
apostropher a.pɔs.tʁɔ.fe 
apostrophes a.pɔs.tʁɔf 
apothéose a.pɔ.te.oz 
apôtre a.potʁ 
apparaissait a.pa.ʁɛ.sɛ 
apparaissent a.pa.ʁɛs 
apparaît a.pa.ʁɛ 
apparaître a.pa.ʁɛtʁ 
appareil a.pa.ʁɛj 
appareil a.pa.ʁɛj 
photo fɔ.to 
appareillage a.pa.ʁe.jaʒ 
appareils a.pa.ʁɛj 
apparemment a.pa.ʁa.mɑ̃ 
apparence a.pa.ʁɑ̃s 
apparences a.pa.ʁɑ̃s 
apparent a.pa.ʁɑ̃ 
apparente a.pa.ʁɑ̃t 
appariteur a.pa.ʁi.tœʁ 
apparition a.pa.ʁi.sjɔ̃ 
appartement a.paʁ.tə.mɑ̃ 
appartements a.paʁ.tə.mɑ̃ 
appartenaient a.paʁ.tə.nɛ 
appartenait a.paʁ.tə.nɛ 
appartenance a.paʁ.tə.nɑ̃s 
appartenant a.paʁ.tə.nɑ̃ 
appartenir a.paʁ.tə.niʁ 
appartenu a.paʁ.tə.ny 
appartiennent a.paʁ.tjɛn 
appartient a.paʁ.tjɛ̃ 
apparu a.pa.ʁy 
apparue a.pa.ʁy 
apparues a.pa.ʁy 
apparus a.pa.ʁy 
appauvrir a.po.vʁiʁ 
appel a.pɛl 
appelaient a.pə.lɛ 
appelait a.pə.lɛ 
appelant a.plɑ̃ 
appelé a.ple 
appelée a.pə.le 
appelées a.pə.le 
appeler a.pə.le 
appelés a.pə.le 
appellation a.pɛl.la.sjɔ̃ 
appelle a.pɛl 
appellent a.pɛl 
appels a.pɛl 
appendice a.pɛ̃.dis 
appendicite a.pɛ̃.di.sit 
appentis a.pɑ̃.ti 
appesantir a.pə.zɑ̃.tiʁ 
appétissant a.pe.ti.sɑ̃ 
appétit a.pe.ti 
appétits a.pe.ti 
applaudi a.plo.di 
applaudir a.plo.diʁ 
applaudissements a.plɔ.dis.mɑ̃ 
applaudit a.plo.di 
applicable a.pli.kabl 
applicables a.pli.kabl 
application a.pli.ka.sjɔ̃ 
applications a.pli.ka.sjɔ̃ 
appliquant a.pli.kɑ̃ 
applique a.plik 
appliqué a.pli.ke 
appliquée a.pli.ke 
appliquées a.pli.ke 
appliquer a.pli.ke 
appliqués a.pli.ke 
apport a.pɔʁ 
apportait a.pɔʁ.tɛ 
apportant a.pɔʁ.tɑ̃ 
apporte a.pɔʁt 
apporté a.pɔʁ.te 
apportée a.pɔʁ.te 
apportées a.pɔʁ.te 
apportent a.pɔʁt 
apporter a.pɔʁ.te 
apportera a.pɔʁ.tə.ʁa 
apportés a.pɔʁ.te 
apports a.pɔʁ 
apposer a.po.ze 
apposition a.pɔ.zi.sjɔ̃ 
appréciable a.pʁe.sjabl 
appréciation a.pʁe.sja.sjɔ̃ 
apprécie a.pʁe.si 
apprécié a.pʁe.sje 
appréciée a.pʁe.sje 
apprécient a.pʁe.si 
apprécier a.pʁe.sje 
appréciés a.pʁe.sje 
appréhender a.pʁe.ɑ̃.de 
appréhension a.pʁe.ɑ̃.sjɔ̃ 
apprenait a.pʁə.nɛ 
apprenant a.pʁə.nɑ̃ 
apprend a.pʁɑ̃ 
apprendre a.pʁɑ̃dʁ 
apprennent apʁɛn 
apprenti a.pʁɑ̃.ti 
apprentie a.pʁɑ̃.ti 
apprentis a.pʁɑ̃.ti 
apprentissage a.pʁɑ̃.ti.saʒ 
apprêt a.pʁɛ 
apprêté a.pʁe.te 
apprêter a.pʁe.te 
appris a.pʁi 
apprivoisement a.pʁi.vwaz.mɑ̃ 
apprivoiser a.pʁi.vwa.ze 
approbation a.pʁɔ.ba.sjɔ̃ 
approche a.pʁɔʃ 
approché a.pʁɔ.ʃe 
approcher a.pʁɔ.ʃe 
approches a.pʁɔʃ 
approfondie a.pʁɔ.fɔ̃.di 
approfondies a.pʁɔ.fɔ̃.di 
approfondir a.pʁɔ.fɔ̃.diʁ 
approfondissement a.pʁɔ.fɔ̃.dis.mɑ̃ 
approprié a.pʁɔ.pʁi.je 
appropriée a.pʁɔ.pʁije 
approuve a.pʁuv 
approuvé a.pʁu.ve 
approuvée a.pʁu.ve 
approuvent a.pʁuv 
approuver a.pʁu.ve 
approvisionnement a.pʁɔ.vi.zjɔn.mɑ̃ 
approvisionnements a.pʁɔ.vi.zjɔn.mɑ̃ 
approvisionner a.pʁɔ.vi.zjɔ.ne 
approvisionneur a.pʁɔ.vi.si.o.nœʁ 
approximative a.pʁɔk.si.ma.tiv 
approximativement a.pʁɔk.si.ma.tiv.mɑ̃ 
appui a.pɥi 
appuis a.pɥi 
appuyé a.pɥi.je 
appuyée a.pɥi.je 
appuyer a.pɥi.je 
appuyés a.pɥi.je 
âpre ɑpʁ 
après a.pʁɛ 
après-midi a.pʁɛ mi.di 
âpreté ɑ.pʁǝ.te 
apte apt 
aptes apt 
aptitude ap.ti.tyd 
aptitudes ap.ti.tyd 
aquarelle a.kwa.ʁɛl 
aquarelliste a.kwa.ʁe.list 
aquatique a.kwa.tik 
aquilon a.ki.lɔ̃ 
aquitaine a.ki.tɛn 
arabe a.ʁab 
arabes a.ʁab 
arabesque a.ʁa.bɛsk 
Arabie a.ʁa.bi 
arabisant a.ʁa.bi.zɑ̃ 
arachide a.ʁa.ʃid 
Arafat a.ʁa.fat 
araignée a.ʁɛ.ɲe 
arbalète aʁ.ba.lɛt 
arbitrage aʁ.bi.tʁaʒ 
arbitrages aʁ.bit.ʁaʒ 
arbitraire aʁ.bi.tʁɛʁ 
arbitraires aʁ.bi.tʁɛʁ 
arbitral aʁ.bi.tʁal 
arbitre aʁ.bitʁ 
arboriculture aʁ.bɔ.ʁi.kyl.tyʁ 
arbre aʁbʁ 
arbre aʁbʁ 
de dy 
Noël t 
arbres aʁbʁ 
arbrisseau aʁ.bʁi.so 
arbuste aʁ.byst 
arc aʁk 
Arcachon aʁ.ka.ʃɔ̃ 
arcade aʁ.kad 
arcades aʁ.kad 
arcane aʁ.kan 
arceau aʁ.so 
archaïque aʁ.ka.ik 
archaïsme aʁ.ka.ism 
archange aʁ.kɑ̃ʒ 
arche aʁʃ 
archéologie aʁ.ke.ɔ.lɔ.ʒi 
archéologique aʁ.ke.ɔ.lɔ.ʒik 
archéologue aʁ.ke.ɔ.lɔɡ 
archéologues aʁ.ke.ɔ.lɔɡ 
archet aʁ.ʃɛ 
archevêché aʁ.ʃə.ve.ʃe 
archevêque aʁ.ʃə.vɛk 
archidiacre aʁ.ʃi.djakʁ 
archimandrite aʁ.ʃi.mɑ̃.dʁit 
archipel aʁ.ʃi.pɛl 
architecte aʁ.ʃi.tɛkt 
architectes aʁ.ʃi.tɛkt 
architectonique aʁ.ʃi.tɛk.tɔ.nik 
architectural aʁ.ʃi.tɛk.ty.ʁal 
architecturale aʁ.ʃi.tɛk.ty.ʁal 
architecture aʁ.ʃi.tɛk.tyʁ 
archives aʁ.ʃiv 
archiviste aʁ.ʃi.vist 
archivistique aʁ.ʃi.vis.tik 
archonte aʁ.kɔ̃t 
ardemment aʁ.da.mɑ̃ 
Ardennes aʁ.dɛn 
ardent aʁ.dɑ̃ 
ardeur aʁ.dœʁ 
ardu aʁ.dy 
are aʁ 
arène a.ʁɛn 
arête a.ʁɛt 
argent aʁ.ʒɑ̃ 
argentan aʁ.ʒɑ̃.tɑ̃ 
argenterie aʁ.ʒɑ̃.tʁi 
argentin aʁ.ʒɑ̃.tɛ̃ 
Argentin aʁ.ʒɑ̃.tɛ̃ 
argentine aʁ.ʒɑ̃.tin 
Argentine aʁ.ʒɑ̃.tin 
argentins aʁ.ʒɑ̃.tɛ̃ 
Argentins aʁ.ʒɑ̃.tɛ̃ 
argile aʁ.ʒil 
argonaute aʁ.ɡɔ.not 
argot aʁ.ɡo 
argotique aʁ.ɡɔ.tik 
arguant aʁ.ɡy.ɑ̃ 
arguer aʁ.ɡɥe 
argument aʁ.ɡy.mɑ̃ 
argumentation aʁ.ɡy.mɑ̃.ta.sjɔ̃ 
argumenté aʁ.ɡy.mɑ̃.te 
argumenter aʁ.ɡy.mɑ̃.te 
arguments aʁ.ɡy.mɑ̃ 
aria a.ʁja 
Ariane a.ʁjan 
arias a.ʁja 
aride a.ʁid 
aristocrate a.ʁis.tɔ.kʁat 
aristocratie a.ʁis.tɔ.kʁa.si 
aristocratique a.ʁis.tɔ.kʁa.tik 
aristocratiquement a.ʁis.tɔ.kʁa.tik.mɑ̃ 
aristocratisme a.ʁis.tɔ.kʁa.sism 
arithmétique a.ʁit.me.tik 
Arizona a.ʁi.zo.na 
armada aʁ.ma.da 
Armand aʁ.mɑ̃ 
armateur aʁ.ma.tœʁ 
armateurs aʁ.ma.tœʁ 
armature aʁ.ma.tyʁ 
arme aʁm 
armé aʁ.me 
armée aʁ.me 
armées aʁ.me 
armement aʁ.mə.mɑ̃ 
armements aʁ.mə.mɑ̃ 
Arménie aʁ.me.ni 
arménien aʁ.me.njɛ̃ 
Arménien aʁ.me.njɛ̃ 
arménienne aʁ.me.njɛ̃ 
Arménienne aʁ.me.njɛ̃ 
arméniens aʁ.me.njɛ̃ 
Arméniens aʁ.me.njɛ̃ 
armer aʁ.me 
armes aʁm 
armés aʁ.me 
armistice aʁ.mis.tis 
armoire aʁ.mwaʁ 
armoiries aʁ.mwa.ʁi 
Arnaud aʁ.no 
aromates a.ʁɔ.mat 
aromatique a.ʁɔ.ma.tik 
aromatisé a.ʁɔ.ma.ti.ze 
aromatiser a.ʁo.ma.ti.ze 
arôme a.ʁom 
Aron a.ʁɔ̃ 
arpenter aʁ.pɑ̃.te 
arraché a.ʁa.ʃe 
arracher a.ʁa.ʃe 
arrangé a.ʁɑ̃.ʒe 
arrangement a.ʁɑ̃ʒ.mɑ̃ 
arranger a.ʁɑ̃.ʒe 
arrestation a.ʁɛs.ta.sjɔ̃ 
arrestations a.ʁɛs.ta.sjɔ̃ 
arrêt a.ʁɛ 
arrête a.ʁɛt 
arrêté a.ʁɛ.te 
arrêtée a.ʁɛ.te 
arrêtées a.ʁɛ.te 
arrêter a.ʁɛ.te 
arrêtés a.ʁɛ.te 
arrêts a.ʁɛ 
arrhes aʁ 
arrière a.ʁjɛʁ 
arriéré a.ʁje.ʁe 
arrière-garde a.ʁjɛʁ.ɡaʁd 
arrière-plan a.ʁjɛʁ.plɑ̃ 
arrières a.ʁjɛʁ 
arriérés a.ʁje.ʁe 
arrimer a.ʁi.me 
arrivage a.ʁi.vaʒ 
arrivait a.ʁi.vɛ 
arrivant a.ʁi.vɑ̃ 
arrivants a.ʁi.vɑ̃ 
arrive a.ʁiv 
arrivé a.ʁi.ve 
arrivée a.ʁi.ve 
arrivées a.ʁi.ve 
arrivent a.ʁiv 
arriver a.ʁi.ve 
arrivés a.ʁi.ve 
arrogamment a.ʁɔ.ɡa.mɑ̃ 
arrogance a.ʁɔ.ɡɑ̃s 
arrogant a.ʁɔ.ɡɑ̃ 
arrondi a.ʁɔ̃.di 
arrondissement a.ʁɔ̃.dis.mɑ̃ 
arrondissements a.ʁɔ̃.dis.mɑ̃ 
arrosé a.ʁo.ze 
arroser a.ʁo.ze 
arsenal a 
arsenic aʁ.sə.nik 
art aʁ 
art aʁ 
huis ɥi 
artère aʁ.tɛʁ 
artériosclérose aʁ.te.rjɔs.kle.roz 
artésien aʁ.te.zjɛ̃ 
arthrite aʁ.tʁit 
Arthur aʁ.tyʁ 
article aʁ.tikl 
articles aʁ.tikl 
articulation aʁ.ti.ky.la.sjɔ̃ 
articulé aʁ.ti.ky.le 
